,Country,happiness_rank,happiness_score,gdp_billions,code
1,Switzerland,1,7.587,679,CHE
2,Iceland,2,7.561,16.2,ISL
3,Denmark,3,7.527,347.2,DNK
4,Norway,4,7.522,511.6,NOR
5,Canada,5,7.427,1794,CAN
6,Finland,6,7.406,276.3,FIN
7,Netherlands,7,7.378,880.4,NLD
8,Sweden,8,7.364,559.1,SWE
9,New Zealand,9,7.286,201,NZL
10,Australia,10,7.284,1483,AUS
11,Israel,11,7.278,305,ISR
12,Costa Rica,12,7.226,50.46,CRI
13,Austria,13,7.2,436.1,AUT
14,Mexico,14,7.187,1296,MEX
15,United States,15,7.119,17420,USA
16,Brazil,16,6.983,2244,BRA
17,Luxembourg,17,6.946,63.93,LUX
18,Ireland,18,6.94,245.8,IRL
19,Belgium,19,6.937,527.8,BEL
20,United Arab Emirates,20,6.901,416.4,ARE
21,United Kingdom,21,6.867,2848,GBR
22,Oman,22,6.853,80.54,OMN
23,Venezuela,23,6.81,209.2,VEN
24,Singapore,24,6.798,307.9,SGP
25,Panama,25,6.786,44.69,PAN
26,Germany,26,6.75,3820,DEU
27,Chile,27,6.67,264.1,CHL
28,Qatar,28,6.611,212,QAT
29,France,29,6.575,2902,FRA
30,Argentina,30,6.574,536.2,ARG
31,Czech Republic,31,6.505,205.6,CZE
32,Uruguay,32,6.485,55.6,URY
33,Colombia,33,6.477,400.1,COL
34,Thailand,34,6.455,373.8,THA
35,Saudi Arabia,35,6.411,777.9,SAU
36,Spain,36,6.329,1400,ESP
37,Malta,37,6.302,10.57,MLT
38,Taiwan,38,6.298,529.5,TWN
39,Kuwait,39,6.295,179.3,KWT
40,Suriname,40,6.269,5.27,SUR
41,Trinidad and Tobago,41,6.168,29.63,TTO
42,El Salvador,42,6.13,25.14,SLV
43,Guatemala,43,6.123,58.3,GTM
44,Uzbekistan,44,6.003,63.08,UZB
45,Slovakia,45,5.995,99.75,SVK
46,Japan,46,5.987,4770,JPN
47,South Korea,47,5.984,NA,NA
48,Ecuador,48,5.975,100.5,ECU
49,Bahrain,49,5.96,34.05,BHR
50,Italy,50,5.948,2129,ITA
51,Bolivia,51,5.89,34.08,BOL
52,Moldova,52,5.889,7.74,MDA
53,Paraguay,53,5.878,31.3,PRY
54,Kazakhstan,54,5.855,225.6,KAZ
55,Slovenia,55,5.848,49.93,SVN
56,Lithuania,56,5.833,48.72,LTU
57,Nicaragua,57,5.828,11.85,NIC
58,Peru,58,5.824,208.2,PER
59,Belarus,59,5.813,75.25,BLR
60,Poland,60,5.791,552.2,POL
61,Malaysia,61,5.77,336.9,MYS
62,Croatia,62,5.759,57.18,HRV
63,Libya,63,5.754,49.34,LBY
64,Russia,64,5.716,2057,RUS
65,Jamaica,65,5.709,13.92,JAM
66,North Cyprus,66,5.695,21.34,CYP
67,Cyprus,67,5.689,21.34,CYP
68,Algeria,68,5.605,227.8,DZA
69,Kosovo,69,5.589,5.99,KSV
70,Turkmenistan,70,5.548,43.5,TKM
71,Mauritius,71,5.477,12.72,MUS
72,Hong Kong,72,5.474,292.7,HKG
73,Estonia,73,5.429,26.36,EST
74,Indonesia,74,5.399,856.1,IDN
75,Vietnam,75,5.36,187.8,VNM
76,Turkey,76,5.332,813.3,TUR
